actor_a,actor_b,weight
Justin Theroux,Naomi Watts,1
Laura Harring,Naomi Watts,1
Chris Pine,Leonard Nimoy,1
Chris Pine,Simon Pegg,1
Leonard Nimoy,Simon Pegg,1
Leonard Nimoy,Zachary Quinto,1
Simon Pegg,Zachary Quinto,1
Michelle Rodriguez,Sam Worthington,1
Michelle Rodriguez,Sigourney Weaver,1
Michelle Rodriguez,Zoe Saldana,1
Bill Paxton,Brendan Gleeson,1
Bill Paxton,Emily Blunt,1
Bill Paxton,Tom Cruise,1
Brendan Gleeson,Emily Blunt,1
Brendan Gleeson,Tom Cruise,1
Emily Blunt,Tom Cruise,1
Cate Blanchett,Chris Hemsworth,1
Cate Blanchett,Mark Ruffalo,1
Cate Blanchett,Tom Hiddleston,1
Mark Ruffalo,Tom Hiddleston,1
Amy Adams,Gal Gadot,1
Gal Gadot,Henry Cavill,1
Gwyneth Paltrow,Jeff Bridges,1
Gwyneth Paltrow,Terrence Howard,1
Jeff Bridges,Robert Downey Jr.,1
Jeff Bridges,Terrence Howard,1
Robert Downey Jr.,Terrence Howard,1
Chiwetel Ejiofor,Clive Owen,1
Chiwetel Ejiofor,Julianne Moore,1
Chiwetel Ejiofor,Michael Caine,1
Clive Owen,Julianne Moore,1
Clive Owen,Michael Caine,1
Julianne Moore,Michael Caine,1
Roman Griffin Davis,Scarlett Johansson,1
Roman Griffin Davis,Taika Waititi,1
Roman Griffin Davis,Thomasin Mckenzie,1
Scarlett Johansson,Taika Waititi,1
Scarlett Johansson,Thomasin Mckenzie,1
Taika Waititi,Thomasin Mckenzie,1
Cameron Diaz,John Lithgow,1
Eddie Murphy,John Lithgow,1
John Lithgow,Mike Myers,1
Emma Watson,Ezra Miller,1
Emma Watson,Logan Lerman,1
Emma Watson,Paul Rudd,1
Ezra Miller,Logan Lerman,1
Ezra Miller,Paul Rudd,1
Logan Lerman,Paul Rudd,1
Dee Wallace,Drew Barrymore,1
Dee Wallace,Henry Thomas,1
Dee Wallace,Peter Coyote,1
Drew Barrymore,Henry Thomas,1
Drew Barrymore,Peter Coyote,1
Henry Thomas,Peter Coyote,1
Kate Ashfield,Lucy Davis,1
Kate Ashfield,Nick Frost,1
Kate Ashfield,Simon Pegg,1
Lucy Davis,Nick Frost,1
Lucy Davis,Simon Pegg,1
Emmy Rossum,Kevin Bacon,1
Emmy Rossum,Sean Penn,1
Emmy Rossum,Tim Robbins,1
Kevin Bacon,Sean Penn,1
Kevin Bacon,Tim Robbins,1
Sean Penn,Tim Robbins,1
Anthony Michael Hall,Dianne Wiest,1
Anthony Michael Hall,Johnny Depp,1
Anthony Michael Hall,Winona Ryder,1
Dianne Wiest,Johnny Depp,1
Dianne Wiest,Winona Ryder,1
Johnny Depp,Winona Ryder,1
David James,Jason Cope,1
David James,Nathalie Boltt,1
David James,Sharlto Copley,1
Jason Cope,Nathalie Boltt,1
Jason Cope,Sharlto Copley,1
Nathalie Boltt,Sharlto Copley,1
Brendan Gleeson,Ciaran Hinds,1
Brendan Gleeson,Elizabeth Berrington,1
Ciaran Hinds,Elizabeth Berrington,1
Colin Farrell,Elizabeth Berrington,1
Hugh Jackman,James Mcavoy,1
Ian Mckellen,James Mcavoy,1
James Mcavoy,Patrick Stewart,1
Izabela Vidovic,Jacob Tremblay,1
Izabela Vidovic,Julia Roberts,1
Izabela Vidovic,Owen Wilson,1
Jacob Tremblay,Julia Roberts,1
Jacob Tremblay,Owen Wilson,1
Julia Roberts,Owen Wilson,1
Jared Leto,Jennifer Garner,1
Jared Leto,Matthew Mcconaughey,1
Jared Leto,Steve Zahn,1
Jennifer Garner,Steve Zahn,1
Adam Driver,Azhy Robertson,1
Adam Driver,Julia Greer,1
Adam Driver,Scarlett Johansson,1
Azhy Robertson,Julia Greer,1
Azhy Robertson,Scarlett Johansson,1
Julia Greer,Scarlett Johansson,1
Cab Calloway,Dan Aykroyd,1
Cab Calloway,John Belushi,1
Cab Calloway,John Candy,1
Dan Aykroyd,John Belushi,1
John Belushi,John Candy,1
Christopher Guest,Kimberly Stringer,1
Christopher Guest,Rob Reiner,1
Kimberly Stringer,Michael Mckean,1
Kimberly Stringer,Rob Reiner,1
Michael Mckean,Rob Reiner,1
Adil Hussain,Irrfan Khan,1
Adil Hussain,Suraj Sharma,1
Adil Hussain,Tabu,1
Irrfan Khan,Suraj Sharma,1
Suraj Sharma,Tabu,1
Al Pacino,John Leguizamo,1
Al Pacino,Penelope Ann Miller,1
Al Pacino,Sean Penn,1
John Leguizamo,Penelope Ann Miller,1
John Leguizamo,Sean Penn,1
Penelope Ann Miller,Sean Penn,1
Jonathan Pryce,Katherine Helmond,1
Jonathan Pryce,Kim Greist,1
Jonathan Pryce,Robert De Niro,1
Katherine Helmond,Kim Greist,1
Katherine Helmond,Robert De Niro,1
Kim Greist,Robert De Niro,1
Akio Otsuka,Iemasa Kayumi,1
Atsuko Tanaka,Iemasa Kayumi,1
Iemasa Kayumi,Koichi Yamadera,1
Joan Cusack,Kelsey Grammer,1
Kelsey Grammer,Tim Allen,1
Kelsey Grammer,Tom Hanks,1
Elijah Smith,Ellar Coltrane,1
Elijah Smith,Ethan Hawke,1
Elijah Smith,Patricia Arquette,1
Ellar Coltrane,Ethan Hawke,1
Ellar Coltrane,Patricia Arquette,1
Ethan Hawke,Patricia Arquette,1
Aidan Gillen,Ferdia Walsh-Peelo,1
Aidan Gillen,Jack Reynor,1
Aidan Gillen,Maria Doyle Kennedy,1
Ferdia Walsh-Peelo,Jack Reynor,1
Ferdia Walsh-Peelo,Maria Doyle Kennedy,1
Jack Reynor,Maria Doyle Kennedy,1
Darren Mcgavin,Melinda Dillon,1
Darren Mcgavin,Peter Billingsley,1
Darren Mcgavin,Scott Schwartz,1
Melinda Dillon,Peter Billingsley,1
Melinda Dillon,Scott Schwartz,1
Peter Billingsley,Scott Schwartz,1
Evan Rachel Wood,Marisa Tomei,1
Evan Rachel Wood,Mark Margolis,1
Evan Rachel Wood,Mickey Rourke,1
Marisa Tomei,Mark Margolis,1
Marisa Tomei,Mickey Rourke,1
Mark Margolis,Mickey Rourke,1
Jai Hind Kumar,Manoj Bajpayee,1
Jai Hind Kumar,Nikhil Pandey,1
Jai Hind Kumar,Surya Mohan Kulshreshtha,1
Manoj Bajpayee,Nikhil Pandey,1
Manoj Bajpayee,Surya Mohan Kulshreshtha,1
Nikhil Pandey,Surya Mohan Kulshreshtha,1
Arifin Putra,Iko Uwais,1
Arifin Putra,Oka Antara,1
Arifin Putra,Yayan Ruhian,1
Iko Uwais,Oka Antara,1
Iko Uwais,Yayan Ruhian,1
Oka Antara,Yayan Ruhian,1
Brie Larson,Frantz Turner,1
Brie Larson,John Gallagher Jr.,1
Brie Larson,Kaitlyn Dever,1
Frantz Turner,John Gallagher Jr.,1
Frantz Turner,Kaitlyn Dever,1
John Gallagher Jr.,Kaitlyn Dever,1
Chang Chen,Chow Yun-Fat,1
Chang Chen,Michelle Yeoh,1
Chow Yun-Fat,Michelle Yeoh,1
Chow Yun-Fat,Ziyi Zhang,1
Hee Jae,Hyuk-Ho Kwon,1
Hee Jae,Jin-Mo Joo,1
Hee Jae,Lee Seung-Yun,1
Hyuk-Ho Kwon,Jin-Mo Joo,1
Hyuk-Ho Kwon,Lee Seung-Yun,1
Jin-Mo Joo,Lee Seung-Yun,1
Kirin Kiki,Lily Franky,1
Kirin Kiki,Mayu Matsuoka,1
Kirin Kiki,Sakura Ando,1
Lily Franky,Mayu Matsuoka,1
Lily Franky,Sakura Ando,1
Mayu Matsuoka,Sakura Ando,1
Jet Li,Maggie Cheung,1
Jet Li,Tony Leung Chiu-Wai,1
Jet Li,Ziyi Zhang,1
Maggie Cheung,Ziyi Zhang,1
Ariane Labed,Ethan Hawke,1
Ariane Labed,Julie Delpy,1
Ariane Labed,Seamus Davey-Fitzpatrick,1
Ethan Hawke,Seamus Davey-Fitzpatrick,1
Julie Delpy,Seamus Davey-Fitzpatrick,1
Bruno Ganz,Curt Bois,1
Bruno Ganz,Otto Sander,1
Bruno Ganz,Solveig Dommartin,1
Curt Bois,Otto Sander,1
Curt Bois,Solveig Dommartin,1
Otto Sander,Solveig Dommartin,1
Bjork,Catherine Deneuve,1
Bjork,David Morse,1
Bjork,Peter Stormare,1
Catherine Deneuve,David Morse,1
Catherine Deneuve,Peter Stormare,1
David Morse,Peter Stormare,1
Benjamin Bratt,Damian Chapa,1
Benjamin Bratt,Enrique Castillo,1
Benjamin Bratt,Jesse Borrego,1
Damian Chapa,Enrique Castillo,1
Damian Chapa,Jesse Borrego,1
Enrique Castillo,Jesse Borrego,1
Julian Arahanga,Mamaengaroa Kerr-Bell,1
Julian Arahanga,Rena Owen,1
Julian Arahanga,Temuera Morrison,1
Mamaengaroa Kerr-Bell,Rena Owen,1
Mamaengaroa Kerr-Bell,Temuera Morrison,1
Rena Owen,Temuera Morrison,1
Benoit Regent,Julie Delpy,1
Benoit Regent,Juliette Binoche,1
Benoit Regent,Zbigniew Zamachowski,1
Julie Delpy,Juliette Binoche,1
Juliette Binoche,Zbigniew Zamachowski,1
Christopher Heyerdahl,Julianne Nicholson,1
Christopher Heyerdahl,Richard Dormer,1
Christopher Heyerdahl,Willem Dafoe,1
Julianne Nicholson,Richard Dormer,1
Julianne Nicholson,Willem Dafoe,1
Richard Dormer,Willem Dafoe,1
Berenice Bejo,James Cromwell,1
Berenice Bejo,Jean Dujardin,1
Berenice Bejo,John Goodman,1
James Cromwell,Jean Dujardin,1
James Cromwell,John Goodman,1
Jean Dujardin,John Goodman,1
Dario Grandinetti,Javier Camara,1
Dario Grandinetti,Leonor Watling,1
Dario Grandinetti,Rosario Flores,1
Javier Camara,Leonor Watling,1
Javier Camara,Rosario Flores,1
Leonor Watling,Rosario Flores,1
Navid Mohammadzadeh,Saeed Poursamimi,1
Navid Mohammadzadeh,Taraneh Alidoosti,1
Payman Maadi,Saeed Poursamimi,1
Payman Maadi,Taraneh Alidoosti,1
Saeed Poursamimi,Taraneh Alidoosti,1
Kajol,Katie Amanda Keane,1
Kajol,Sheetal Menon,1
Katie Amanda Keane,Shah Rukh Khan,1
Katie Amanda Keane,Sheetal Menon,1
Shah Rukh Khan,Sheetal Menon,1
Alexandre Tharaud,Emmanuelle Riva,1
Alexandre Tharaud,Isabelle Huppert,1
Alexandre Tharaud,Jean-Louis Trintignant,1
Emmanuelle Riva,Isabelle Huppert,1
Emmanuelle Riva,Jean-Louis Trintignant,1
Allan Edwall,Erland Josephson,1
Allan Edwall,Guðrun Gisladottir,1
Allan Edwall,Susan Fleetwood,1
Erland Josephson,Guðrun Gisladottir,1
Erland Josephson,Susan Fleetwood,1
Guðrun Gisladottir,Susan Fleetwood,1
Birol Unel,Guven Kirac,1
Birol Unel,Sibel Kekilli,1
Birol Unel,Zarah Jane Mckenzie,1
Guven Kirac,Sibel Kekilli,1
Guven Kirac,Zarah Jane Mckenzie,1
Sibel Kekilli,Zarah Jane Mckenzie,1
Ryu Jun-Yeol,Song Kang-Ho,1
Ryu Jun-Yeol,Thomas Kretschmann,1
Ryu Jun-Yeol,Yoo Hae-Jin,1
Song Kang-Ho,Thomas Kretschmann,1
Song Kang-Ho,Yoo Hae-Jin,1
Thomas Kretschmann,Yoo Hae-Jin,1
Ken Watanabe,Koji Yakusho,1
Ken Watanabe,Nobuko Miyamoto,1
Ken Watanabe,Tsutomu Yamazaki,1
Koji Yakusho,Nobuko Miyamoto,1
Koji Yakusho,Tsutomu Yamazaki,1
Nobuko Miyamoto,Tsutomu Yamazaki,1
Domiziana Giordano,Erland Josephson,1
Domiziana Giordano,Oleg Yankovskiy,1
Domiziana Giordano,Patrizia Terreno,1
Erland Josephson,Oleg Yankovskiy,1
Erland Josephson,Patrizia Terreno,1
Oleg Yankovskiy,Patrizia Terreno,1
Hiroshi Mikami,Junya Fukuda,1
Hiroshi Mikami,Ken Ogata,1
Hiroshi Mikami,Masayuki Shionoya,1
Junya Fukuda,Ken Ogata,1
Junya Fukuda,Masayuki Shionoya,1
Ken Ogata,Masayuki Shionoya,1
Ivan Dobronravov,Konstantin Lavronenko,1
Ivan Dobronravov,Nataliya Vdovina,1
Ivan Dobronravov,Vladimir Garin,1
Konstantin Lavronenko,Nataliya Vdovina,1
Konstantin Lavronenko,Vladimir Garin,1
Nataliya Vdovina,Vladimir Garin,1
Jinpachi Nezu,Ken'Ichi Hagiwara,1
Jinpachi Nezu,Tsutomu Yamazaki,1
Ken'Ichi Hagiwara,Tatsuya Nakadai,1
Ken'Ichi Hagiwara,Tsutomu Yamazaki,1
Tatsuya Nakadai,Tsutomu Yamazaki,1
Alexandru Potocean,Anamaria Marinca,1
Alexandru Potocean,Laura Vasiliu,1
Alexandru Potocean,Vlad Ivanov,1
Anamaria Marinca,Laura Vasiliu,1
Anamaria Marinca,Vlad Ivanov,1
Laura Vasiliu,Vlad Ivanov,1
Fabio Audi,Ghilherme Lobo,1
Fabio Audi,Lucia Romano,1
Fabio Audi,Tess Amorim,1
Ghilherme Lobo,Lucia Romano,1
Ghilherme Lobo,Tess Amorim,1
Lucia Romano,Tess Amorim,1
Alia Bhatt,Siddhant Chaturvedi,1
Ranveer Singh,Siddhant Chaturvedi,1
Ranveer Singh,Vijay Raaz,1
Siddhant Chaturvedi,Vijay Raaz,1
Jaya Bachchan,Preity G Zinta,1
Jaya Bachchan,Saif Ali Khan,1
Jaya Bachchan,Shah Rukh Khan,1
Saif Ali Khan,Shah Rukh Khan,1
Golshifteh Farahani,Sajjad Dolati,1
Golshifteh Farahani,Shahab Hosseini,1
Golshifteh Farahani,Taraneh Alidoosti,1
Sajjad Dolati,Shahab Hosseini,1
Sajjad Dolati,Taraneh Alidoosti,1
Hrithik Roshan,Mrunal Thakur,1
Hrithik Roshan,Nandish Singh Sandhu,1
Hrithik Roshan,Veerendra Saxena,1
Mrunal Thakur,Nandish Singh Sandhu,1
Mrunal Thakur,Veerendra Saxena,1
Nandish Singh Sandhu,Veerendra Saxena,1
Gaston Pauls,Graciela Tenenbaum,1
Gaston Pauls,Maria Mercedes Villagra,1
Gaston Pauls,Ricardo Darin,1
Graciela Tenenbaum,Maria Mercedes Villagra,1
Graciela Tenenbaum,Ricardo Darin,1
Maria Mercedes Villagra,Ricardo Darin,1
Jim Caviezel,Mozhan Marno,1
Jim Caviezel,Navid Negahban,1
Jim Caviezel,Shohreh Aghdashloo,1
Mozhan Marno,Navid Negahban,1
Mozhan Marno,Shohreh Aghdashloo,1
Navid Negahban,Shohreh Aghdashloo,1
Dara Singh Randhawa,Kareena Kapoor,1
Dara Singh Randhawa,Shahid Kapoor,1
Dara Singh Randhawa,Tarun Arora,1
Kareena Kapoor,Tarun Arora,1
Shahid Kapoor,Tarun Arora,1
Ahilleas Skevis,Bruno Ganz,1
Ahilleas Skevis,Fabrizio Bentivoglio,1
Ahilleas Skevis,Isabelle Renauld,1
Bruno Ganz,Fabrizio Bentivoglio,1
Bruno Ganz,Isabelle Renauld,1
Fabrizio Bentivoglio,Isabelle Renauld,1
Branko Djuric,Filip Sovagovic,1
Branko Djuric,Georges Siatidis,1
Branko Djuric,Rene Bitorajac,1
Filip Sovagovic,Georges Siatidis,1
Filip Sovagovic,Rene Bitorajac,1
Georges Siatidis,Rene Bitorajac,1
Rahul Bhat,Ronit Roy,1
Rahul Bhat,Tejaswini Kolhapure,1
Rahul Bhat,Vineet Kumar Singh,1
Ronit Roy,Tejaswini Kolhapure,1
Ronit Roy,Vineet Kumar Singh,1
Tejaswini Kolhapure,Vineet Kumar Singh,1
G. Puffs,Kakule William,1
G. Puffs,Kavubu Muhammed,1
G. Puffs,Sserunya Ernest,1
Kakule William,Kavubu Muhammed,1
Kakule William,Sserunya Ernest,1
Kavubu Muhammed,Sserunya Ernest,1
Hiroshi Abe,Kazuya Takahashi,1
Hiroshi Abe,You,1
Hiroshi Abe,Yui Natsukawa,1
Kazuya Takahashi,You,1
Kazuya Takahashi,Yui Natsukawa,1
You,Yui Natsukawa,1
Danielle Proulx,Emile Vallee,1
Danielle Proulx,Marc-Andre Grondin,1
Danielle Proulx,Michel Cote,1
Emile Vallee,Marc-Andre Grondin,1
Emile Vallee,Michel Cote,1
Marc-Andre Grondin,Michel Cote,1
Ayushmann Khurrana,Sanya Malhotra,1
Gajraj Rao,Sanya Malhotra,1
Neena Gupta,Sanya Malhotra,1
Hema Malini,Kamal Haasan,1
Hema Malini,Rani Mukerji,1
Hema Malini,Shah Rukh Khan,1
Kamal Haasan,Rani Mukerji,1
Kamal Haasan,Shah Rukh Khan,1
Bharathiraja,Dhanush,1
Bharathiraja,Nithya Menen,1
Bharathiraja,Prakash Raj,1
Dhanush,Nithya Menen,1
Nithya Menen,Prakash Raj,1
Akshay Kumar,Kumud Mishra,1
Akshay Kumar,Nimrat Kaur,1
Akshay Kumar,Prakash Belawadi,1
Kumud Mishra,Nimrat Kaur,1
Kumud Mishra,Prakash Belawadi,1
Nimrat Kaur,Prakash Belawadi,1
Akio Otsuka,Tessho Genda,1
Atsuko Tanaka,Tessho Genda,1
Koichi Yamadera,Tessho Genda,1
Gregoire Colin,Josif Josifovski,1
Gregoire Colin,Katrin Cartlidge,1
Gregoire Colin,Rade Serbedzija,1
Josif Josifovski,Katrin Cartlidge,1
Josif Josifovski,Rade Serbedzija,1
Katrin Cartlidge,Rade Serbedzija,1
Ashutosh Rana,Bhumi Pednekar,1
Ashutosh Rana,Ranvir Shorey,1
Ashutosh Rana,Sushant Singh Rajput,1
Bhumi Pednekar,Ranvir Shorey,1
Bhumi Pednekar,Sushant Singh Rajput,1
Ranvir Shorey,Sushant Singh Rajput,1
Bunjaku Han,Etsushi Toyokawa,1
Bunjaku Han,Katsuyuki Shinohara,1
Bunjaku Han,Miho Nakayama,1
Etsushi Toyokawa,Katsuyuki Shinohara,1
Etsushi Toyokawa,Miho Nakayama,1
Katsuyuki Shinohara,Miho Nakayama,1
Ahmed Saddam,Baraa Alem,1
Ahmed Saddam,Ismail Alhassan,1
Ahmed Saddam,Sohayb Godus,1
Baraa Alem,Ismail Alhassan,1
Baraa Alem,Sohayb Godus,1
Ismail Alhassan,Sohayb Godus,1
Abhay Deol,Dibyendu Bhattacharya,1
Abhay Deol,Mahie Gill,1
Dibyendu Bhattacharya,Kalki Koechlin,1
Dibyendu Bhattacharya,Mahie Gill,1
Kalki Koechlin,Mahie Gill,1
Ashwini Kalsekar,Dharmendra,1
Ashwini Kalsekar,Neil Nitin Mukesh,1
Ashwini Kalsekar,Rimi Sen,1
Dharmendra,Neil Nitin Mukesh,1
Dharmendra,Rimi Sen,1
Neil Nitin Mukesh,Rimi Sen,1
Hakan Karsak,Kadir Cermik,1
Hakan Karsak,Nadir Saribacak,1
Hakan Karsak,Ozgur Emre Yildirim,1
Kadir Cermik,Nadir Saribacak,1
Kadir Cermik,Ozgur Emre Yildirim,1
Nadir Saribacak,Ozgur Emre Yildirim,1
Dimitris Katalifos,Ioanna Kolliopoulou,1
Dimitris Katalifos,Manos Vakousis,1
Dimitris Katalifos,Pigmalion Dadakaridis,1
Ioanna Kolliopoulou,Manos Vakousis,1
Ioanna Kolliopoulou,Pigmalion Dadakaridis,1
Manos Vakousis,Pigmalion Dadakaridis,1
Akshaye Khanna,Jackie Shroff,1
Akshaye Khanna,Suniel Shetty,1
Akshaye Khanna,Sunny Deol,1
Jackie Shroff,Suniel Shetty,1
Jackie Shroff,Sunny Deol,1
Suniel Shetty,Sunny Deol,1
Erkan Can,Haldun Boysan,1
Erkan Can,Naci Tasdogen,1
Erkan Can,Yildiray Sahinler,1
Haldun Boysan,Naci Tasdogen,1
Haldun Boysan,Yildiray Sahinler,1
Naci Tasdogen,Yildiray Sahinler,1
Akshay Kumar,Danny Denzongpa,1
Akshay Kumar,Rana Daggubati,1
Danny Denzongpa,Rana Daggubati,1
Danny Denzongpa,Taapsee Pannu,1
Rana Daggubati,Taapsee Pannu,1
Dragan Bjelogrlic,Milos Bikovic,1
Dragan Bjelogrlic,Miodrag Radonjic,1
Dragan Bjelogrlic,Nebojsa Glogovac,1
Milos Bikovic,Miodrag Radonjic,1
Milos Bikovic,Nebojsa Glogovac,1
Miodrag Radonjic,Nebojsa Glogovac,1
Nithya Menen,Saranya Ponvannan,1
Nithya Menen,Suriya,1
Samantha Ruth Prabhu,Saranya Ponvannan,1
Samantha Ruth Prabhu,Suriya,1
Akshay Kumar,Jyoti Subhash,1
Akshay Kumar,Radhika Apte,1
Akshay Kumar,Sonam Kapoor,1
Jyoti Subhash,Radhika Apte,1
Jyoti Subhash,Sonam Kapoor,1
Radhika Apte,Sonam Kapoor,1
Kamal Haasan,Miles Anderson,1
Kamal Haasan,Pooja Kumar,1
Kamal Haasan,Rahul Bose,1
Miles Anderson,Pooja Kumar,1
Miles Anderson,Rahul Bose,1
Pooja Kumar,Rahul Bose,1
Rajat Kapoor,Sanjay Mishra,1
Rajat Kapoor,Seema Pahwa,1
Rajat Kapoor,Taranjit Kaur,1
Sanjay Mishra,Seema Pahwa,1
Sanjay Mishra,Taranjit Kaur,1
Seema Pahwa,Taranjit Kaur,1
Hamid Aghazi,Kamran Dehghan,1
Hamid Aghazi,Maryam Akbari,1
Hamid Aghazi,Mohammad Amir Naji,1
Kamran Dehghan,Maryam Akbari,1
Kamran Dehghan,Mohammad Amir Naji,1
Maryam Akbari,Mohammad Amir Naji,1
Evgeniy Leonov,Levan Gabriadze,1
Evgeniy Leonov,Stanislav Lyubshin,1
Evgeniy Leonov,Yuriy Yakovlev,1
Levan Gabriadze,Stanislav Lyubshin,1
Levan Gabriadze,Yuriy Yakovlev,1
Stanislav Lyubshin,Yuriy Yakovlev,1
Anica Dobra,Natasa Ninkovic,1
Anica Dobra,Nebojsa Glogovac,1
Anica Dobra,Predrag 'Miki' Manojlovic,1
Natasa Ninkovic,Nebojsa Glogovac,1
Natasa Ninkovic,Predrag 'Miki' Manojlovic,1
Nebojsa Glogovac,Predrag 'Miki' Manojlovic,1
Lauri Pedaja,Part Uusberg,1
Lauri Pedaja,Paula Solvak,1
Lauri Pedaja,Vallo Kirs,1
Part Uusberg,Paula Solvak,1
Part Uusberg,Vallo Kirs,1
Paula Solvak,Vallo Kirs,1
Akkineni Nageswara Rao,Naga Chaitanya Akkineni,1
Akkineni Nageswara Rao,Nagarjuna Akkineni,1
Akkineni Nageswara Rao,Samantha Ruth Prabhu,1
Naga Chaitanya Akkineni,Nagarjuna Akkineni,1
Naga Chaitanya Akkineni,Samantha Ruth Prabhu,1
Nagarjuna Akkineni,Samantha Ruth Prabhu,1
George Georgiou,Keanu Reeves,1
George Georgiou,Lance Reddick,1
George Georgiou,Laurence Fishburne,1
Keanu Reeves,Lance Reddick,1
Lance Reddick,Laurence Fishburne,1
Bill Camp,Cristal Aparicio,1
Bill Camp,Jim Caviezel,1
Bill Camp,Mira Sorvino,1
Cristal Aparicio,Jim Caviezel,1
Cristal Aparicio,Mira Sorvino,1
Colin Farrell,Jeffrey Wright,1
Colin Farrell,Robert Pattinson,1
Colin Farrell,Zoe Kravitz,1
Jeffrey Wright,Robert Pattinson,1
Jeffrey Wright,Zoe Kravitz,1
Robert Pattinson,Zoe Kravitz,1
Jamie Lee Curtis,Ke Huy Quan,1
Jamie Lee Curtis,Michelle Yeoh,1
Jamie Lee Curtis,Stephanie Hsu,1
Ke Huy Quan,Michelle Yeoh,1
Ke Huy Quan,Stephanie Hsu,1
Michelle Yeoh,Stephanie Hsu,1
Charlie Hunnam,Jeremy Strong,1
Charlie Hunnam,Matthew Mcconaughey,1
Charlie Hunnam,Michelle Dockery,1
Jeremy Strong,Matthew Mcconaughey,1
Jeremy Strong,Michelle Dockery,1
Matthew Mcconaughey,Michelle Dockery,1
Brad Pitt,Christian Bale,1
Brad Pitt,Ryan Gosling,1
Brad Pitt,Steve Carell,1
Christian Bale,Ryan Gosling,1
Brenda Blethyn,Donald Sutherland,1
Brenda Blethyn,Matthew Macfadyen,1
Donald Sutherland,Keira Knightley,1
Donald Sutherland,Matthew Macfadyen,1
Allison Williams,Bradley Whitford,1
Allison Williams,Catherine Keener,1
Allison Williams,Daniel Kaluuya,1
Bradley Whitford,Catherine Keener,1
Bradley Whitford,Daniel Kaluuya,1
Catherine Keener,Daniel Kaluuya,1
Alan Tudyk,Diego Luna,1
Alan Tudyk,Donnie Yen,1
Alan Tudyk,Felicity Jones,1
Diego Luna,Donnie Yen,1
Diego Luna,Felicity Jones,1
Donnie Yen,Felicity Jones,1
Bill Paxton,Kurt Russell,1
Bill Paxton,Sam Elliott,1
Bill Paxton,Val Kilmer,1
Kurt Russell,Sam Elliott,1
Kurt Russell,Val Kilmer,1
Sam Elliott,Val Kilmer,1
Albert Brooks,Bryan Cranston,1
Albert Brooks,Carey Mulligan,1
Albert Brooks,Ryan Gosling,1
Bryan Cranston,Carey Mulligan,1
Bryan Cranston,Ryan Gosling,1
Carey Mulligan,Ryan Gosling,1
Gena Rowlands,James Garner,1
Gena Rowlands,Rachel Mcadams,1
Gena Rowlands,Ryan Gosling,1
James Garner,Rachel Mcadams,1
James Garner,Ryan Gosling,1
Rachel Mcadams,Ryan Gosling,1
Eliza Scanlen,Emma Watson,1
Eliza Scanlen,Florence Pugh,1
Eliza Scanlen,Saoirse Ronan,1
Emma Watson,Florence Pugh,1
Emma Watson,Saoirse Ronan,1
Florence Pugh,Saoirse Ronan,1
Ally Sheedy,Emilio Estevez,1
Ally Sheedy,Judd Nelson,1
Ally Sheedy,Molly Ringwald,1
Emilio Estevez,Judd Nelson,1
Emilio Estevez,Molly Ringwald,1
Judd Nelson,Molly Ringwald,1
Bill Nighy,Domhnall Gleeson,1
Bill Nighy,Lydia Wilson,1
Bill Nighy,Rachel Mcadams,1
Domhnall Gleeson,Lydia Wilson,1
Domhnall Gleeson,Rachel Mcadams,1
Lydia Wilson,Rachel Mcadams,1
Al Pacino,Harvey Keitel,1
Al Pacino,Joe Pesci,1
Harvey Keitel,Joe Pesci,1
Antonio Banderas,Florence Pugh,1
Antonio Banderas,Harvey Guillen,1
Florence Pugh,Harvey Guillen,1
Florence Pugh,Salma Hayek,1
Harvey Guillen,Salma Hayek,1
Alan Ruck,Jeffrey Jones,1
Alan Ruck,Matthew Broderick,1
Alan Ruck,Mia Sara,1
Jeffrey Jones,Matthew Broderick,1
Jeffrey Jones,Mia Sara,1
Matthew Broderick,Mia Sara,1
Aaron Hilmer,Albrecht Schuch,1
Aaron Hilmer,Felix Kammerer,1
Aaron Hilmer,Moritz Klaus,1
Albrecht Schuch,Felix Kammerer,1
Albrecht Schuch,Moritz Klaus,1
Felix Kammerer,Moritz Klaus,1
Dalia Hernandez,Gerardo Taracena,1
Dalia Hernandez,Raoul Max Trujillo,1
Dalia Hernandez,Rudy Youngblood,1
Gerardo Taracena,Raoul Max Trujillo,1
Gerardo Taracena,Rudy Youngblood,1
Raoul Max Trujillo,Rudy Youngblood,1
Andy Serkis,Ian Mckellen,1
Andy Serkis,Martin Freeman,1
Andy Serkis,Richard Armitage,1
Barry Keoghan,Fionn Whitehead,1
Barry Keoghan,Mark Rylance,1
Barry Keoghan,Tom Hardy,1
Fionn Whitehead,Mark Rylance,1
Fionn Whitehead,Tom Hardy,1
Mark Rylance,Tom Hardy,1
Denzel Washington,Ryan Hurst,1
Denzel Washington,Will Patton,1
Denzel Washington,Wood Harris,1
Ryan Hurst,Will Patton,1
Ryan Hurst,Wood Harris,1
Will Patton,Wood Harris,1
Chazz Palminteri,Francis Capra,1
Chazz Palminteri,Lillo Brancato,1
Francis Capra,Lillo Brancato,1
Francis Capra,Robert De Niro,1
Lillo Brancato,Robert De Niro,1
Ajay Devgn,Alia Bhatt,1
Ajay Devgn,N.T. Rama Rao Jr.,1
Ajay Devgn,Ram Charan,1
