person,film,role
Abraham Benrubi,"('Open Range', 2003)",actor
Kevin Costner,"('Open Range', 2003)",director
Gerard Butler,"('Law Abiding Citizen', 2009)",actor
Jamie Foxx,"('Law Abiding Citizen', 2009)",actor
Leslie Bibb,"('Law Abiding Citizen', 2009)",actor
Colm Meaney,"('Law Abiding Citizen', 2009)",actor
F. Gary Gray,"('Law Abiding Citizen', 2009)",director
Tom Hanks,"('Cloud Atlas', 2012)",actor
Halle Berry,"('Cloud Atlas', 2012)",actor
Hugh Grant,"('Cloud Atlas', 2012)",actor
Hugo Weaving,"('Cloud Atlas', 2012)",actor
Tom Tykwer,"('Cloud Atlas', 2012)",director
Lana Wachowski,"('Cloud Atlas', 2012)",director
Lilly Wachowski,"('Cloud Atlas', 2012)",director
Sacha Baron Cohen,"('Borat', 2006)",actor
Ken Davitian,"('Borat', 2006)",actor
Luenell,"('Borat', 2006)",actor
Chester,"('Borat', 2006)",actor
Larry Charles,"('Borat', 2006)",director
Andy Samberg,"('Palm Springs', 2020)",actor
Cristin Milioti,"('Palm Springs', 2020)",actor
J.K. Simmons,"('Palm Springs', 2020)",actor
Peter Gallagher,"('Palm Springs', 2020)",actor
Max Barbakow,"('Palm Springs', 2020)",director
Steve Carell,"('Beautiful Boy', 2018)",actor
Maura Tierney,"('Beautiful Boy', 2018)",actor
Jack Dylan Grazer,"('Beautiful Boy', 2018)",actor
Oakley Bull,"('Beautiful Boy', 2018)",actor
Felix Van Groeningen,"('Beautiful Boy', 2018)",director
David Spade,"(""The Emperor's New Groove"", 2000)",actor
John Goodman,"(""The Emperor's New Groove"", 2000)",actor
Eartha Kitt,"(""The Emperor's New Groove"", 2000)",actor
Patrick Warburton,"(""The Emperor's New Groove"", 2000)",actor
Mark Dindal,"(""The Emperor's New Groove"", 2000)",director
Tom Holland,"('Spider-Man: Far from Home', 2019)",actor
Samuel L. Jackson,"('Spider-Man: Far from Home', 2019)",actor
Jake Gyllenhaal,"('Spider-Man: Far from Home', 2019)",actor
Marisa Tomei,"('Spider-Man: Far from Home', 2019)",actor
Jon Watts,"('Spider-Man: Far from Home', 2019)",director
Matthew Mcconaughey,"('Mud', 2012)",actor
Tye Sheridan,"('Mud', 2012)",actor
Jacob Lofland,"('Mud', 2012)",actor
Sam Shepard,"('Mud', 2012)",actor
Jeff Nichols,"('Mud', 2012)",director
Jessica Chastain,"(""Molly's Game"", 2017)",actor
Idris Elba,"(""Molly's Game"", 2017)",actor
Kevin Costner,"(""Molly's Game"", 2017)",actor
Michael Cera,"(""Molly's Game"", 2017)",actor
Aaron Sorkin,"(""Molly's Game"", 2017)",director
Gary Oldman,"('Darkest Hour', 2017)",actor
Lily James,"('Darkest Hour', 2017)",actor
Kristin Scott Thomas,"('Darkest Hour', 2017)",actor
Ben Mendelsohn,"('Darkest Hour', 2017)",actor
Joe Wright,"('Darkest Hour', 2017)",director
Manuela Velasco,"('REC', 2007)",actor
Ferran Terraza,"('REC', 2007)",actor
Jorge-Yamam Serrano,"('REC', 2007)",actor
Pablo Rosso,"('REC', 2007)",actor
Jaume Balaguero,"('REC', 2007)",director
Paco Plaza,"('REC', 2007)",director
Harrison Ford,"('Witness', 1985)",actor
Kelly Mcgillis,"('Witness', 1985)",actor
Lukas Haas,"('Witness', 1985)",actor
Josef Sommer,"('Witness', 1985)",actor
Peter Weir,"('Witness', 1985)",director
John Cusack,"('High Fidelity', 2000)",actor
Iben Hjejle,"('High Fidelity', 2000)",actor
Todd Louiso,"('High Fidelity', 2000)",actor
Jack Black,"('High Fidelity', 2000)",actor
Stephen Frears,"('High Fidelity', 2000)",director
Steven Yeun,"('Minari', 2020)",actor
Yeri Han,"('Minari', 2020)",actor
Alan Kim,"('Minari', 2020)",actor
Noel Cho,"('Minari', 2020)",actor
Lee Isaac Chung,"('Minari', 2020)",director
Ralph Fiennes,"('The English Patient', 1996)",actor
Juliette Binoche,"('The English Patient', 1996)",actor
Willem Dafoe,"('The English Patient', 1996)",actor
Kristin Scott Thomas,"('The English Patient', 1996)",actor
Anthony Minghella,"('The English Patient', 1996)",director
Andy Serkis,"('War for the Planet of the Apes', 2017)",actor
Woody Harrelson,"('War for the Planet of the Apes', 2017)",actor
Steve Zahn,"('War for the Planet of the Apes', 2017)",actor
Karin Konoval,"('War for the Planet of the Apes', 2017)",actor
Matt Reeves,"('War for the Planet of the Apes', 2017)",director
Patrick Stewart,"('X2', 2003)",actor
Hugh Jackman,"('X2', 2003)",actor
Halle Berry,"('X2', 2003)",actor
Ian Mckellen,"('X2', 2003)",actor
Bryan Singer,"('X2', 2003)",director
Michael J. Fox,"('Back to the Future Part III', 1990)",actor
Christopher Lloyd,"('Back to the Future Part III', 1990)",actor
Mary Steenburgen,"('Back to the Future Part III', 1990)",actor
Tom Wilson,"('Back to the Future Part III', 1990)",actor
Robert Zemeckis,"('Back to the Future Part III', 1990)",director
Keira Knightley,"('Begin Again', 2013)",actor
Mark Ruffalo,"('Begin Again', 2013)",actor
Adam Levine,"('Begin Again', 2013)",actor
Hailee Steinfeld,"('Begin Again', 2013)",actor
John Carney,"('Begin Again', 2013)",director
Tom Hanks,"('Sully', 2016)",actor
Aaron Eckhart,"('Sully', 2016)",actor
Laura Linney,"('Sully', 2016)",actor
Valerie Mahaffey,"('Sully', 2016)",actor
Clint Eastwood,"('Sully', 2016)",director
Tom Holland,"('Onward', 2020)",actor
Chris Pratt,"('Onward', 2020)",actor
Julia Louis-Dreyfus,"('Onward', 2020)",actor
Octavia Spencer,"('Onward', 2020)",actor
Dan Scanlon,"('Onward', 2020)",director
William Hurt,"('Body Heat', 1981)",actor
Kathleen Turner,"('Body Heat', 1981)",actor
Richard Crenna,"('Body Heat', 1981)",actor
Ted Danson,"('Body Heat', 1981)",actor
Lawrence Kasdan,"('Body Heat', 1981)",director
Lakeith Stanfield,"('Judas and the Black Messiah', 2021)",actor
Daniel Kaluuya,"('Judas and the Black Messiah', 2021)",actor
Jesse Plemons,"('Judas and the Black Messiah', 2021)",actor
Dominique Fishback,"('Judas and the Black Messiah', 2021)",actor
Shaka King,"('Judas and the Black Messiah', 2021)",director
Stephen Campbell Moore,"('Downton Abbey', 2019)",actor
Michael Fox,"('Downton Abbey', 2019)",actor
Lesley Nicol,"('Downton Abbey', 2019)",actor
Sophie Mcshera,"('Downton Abbey', 2019)",actor
Michael Engler,"('Downton Abbey', 2019)",director
Hugh Bonneville,"('Downton Abbey: A New Era', 2022)",actor
Jim Carter,"('Downton Abbey: A New Era', 2022)",actor
Michelle Dockery,"('Downton Abbey: A New Era', 2022)",actor
Elizabeth Mcgovern,"('Downton Abbey: A New Era', 2022)",actor
Simon Curtis,"('Downton Abbey: A New Era', 2022)",director
Tahar Rahim,"('The Mauritanian', 2021)",actor
Nouhe Hamady Bari,"('The Mauritanian', 2021)",actor
Saadna Hamoud,"('The Mauritanian', 2021)",actor
Mohamed Yeslem Mousse,"('The Mauritanian', 2021)",actor
Kevin Macdonald,"('The Mauritanian', 2021)",director
Fred Willard,"('Best in Show', 2000)",actor
Eugene Levy,"('Best in Show', 2000)",actor
Catherine O'Hara,"('Best in Show', 2000)",actor
Jennifer Coolidge,"('Best in Show', 2000)",actor
Christopher Guest,"('Best in Show', 2000)",director
Matthias Schweighofer,"('The Swimmers', 2022)",actor
Ali Suliman,"('The Swimmers', 2022)",actor
James Krishna Floyd,"('The Swimmers', 2022)",actor
Manal Issa,"('The Swimmers', 2022)",actor
Sally El Hosaini,"('The Swimmers', 2022)",director
Adriana Ugarte,"('Mirage', 2018)",actor
Chino Darin,"('Mirage', 2018)",actor
Javier Gutierrez,"('Mirage', 2018)",actor
Alvaro Morte,"('Mirage', 2018)",actor
Oriol Paulo,"('Mirage', 2018)",director
Greta Gerwig,"('Frances Ha', 2012)",actor
Mickey Sumner,"('Frances Ha', 2012)",actor
Adam Driver,"('Frances Ha', 2012)",actor
Michael Zegen,"('Frances Ha', 2012)",actor
Noah Baumbach,"('Frances Ha', 2012)",director
Elijah Wood,"('Green Street Hooligans', 2005)",actor
Charlie Hunnam,"('Green Street Hooligans', 2005)",actor
Claire Forlani,"('Green Street Hooligans', 2005)",actor
Marc Warren,"('Green Street Hooligans', 2005)",actor
Lexi Alexander,"('Green Street Hooligans', 2005)",director
Jay Baruchel,"('How to Train Your Dragon: The Hidden World', 2019)",actor
America Ferrera,"('How to Train Your Dragon: The Hidden World', 2019)",actor
F. Murray Abraham,"('How to Train Your Dragon: The Hidden World', 2019)",actor
Cate Blanchett,"('How to Train Your Dragon: The Hidden World', 2019)",actor
Dean Deblois,"('How to Train Your Dragon: The Hidden World', 2019)",director
Heather Matarazzo,"('Welcome to the Dollhouse', 1995)",actor
Christina Brucato,"('Welcome to the Dollhouse', 1995)",actor
Victoria Davis,"('Welcome to the Dollhouse', 1995)",actor
Christina Vidal,"('Welcome to the Dollhouse', 1995)",actor
Todd Solondz,"('Welcome to the Dollhouse', 1995)",director
James Caan,"('Thief', 1981)",actor
Tuesday Weld,"('Thief', 1981)",actor
Willie Nelson,"('Thief', 1981)",actor
Jim Belushi,"('Thief', 1981)",actor
Michael Mann,"('Thief', 1981)",director
Robert Downey Jr.,"('Sherlock Holmes: A Game of Shadows', 2011)",actor
Jude Law,"('Sherlock Holmes: A Game of Shadows', 2011)",actor
Jared Harris,"('Sherlock Holmes: A Game of Shadows', 2011)",actor
Rachel Mcadams,"('Sherlock Holmes: A Game of Shadows', 2011)",actor
Guy Ritchie,"('Sherlock Holmes: A Game of Shadows', 2011)",director
Oscar Isaac,"('Inside Llewyn Davis', 2013)",actor
Carey Mulligan,"('Inside Llewyn Davis', 2013)",actor
John Goodman,"('Inside Llewyn Davis', 2013)",actor
Garrett Hedlund,"('Inside Llewyn Davis', 2013)",actor
Ethan Coen,"('Inside Llewyn Davis', 2013)",director
Joel Coen,"('Inside Llewyn Davis', 2013)",director
Vincent Gallo,"(""Buffalo '66"", 1998)",actor
Christina Ricci,"(""Buffalo '66"", 1998)",actor
Ben Gazzara,"(""Buffalo '66"", 1998)",actor
Mickey Rourke,"(""Buffalo '66"", 1998)",actor
Vincent Gallo,"(""Buffalo '66"", 1998)",director
Gene Hackman,"('Hoosiers', 1986)",actor
Barbara Hershey,"('Hoosiers', 1986)",actor
Dennis Hopper,"('Hoosiers', 1986)",actor
Sheb Wooley,"('Hoosiers', 1986)",actor
David Anspaugh,"('Hoosiers', 1986)",director
John Travolta,"('Blow Out', 1981)",actor
Nancy Allen,"('Blow Out', 1981)",actor
John Lithgow,"('Blow Out', 1981)",actor
Dennis Franz,"('Blow Out', 1981)",actor
Brian De Palma,"('Blow Out', 1981)",director
Kang Ha-Neul,"('Forgotten', 2017)",actor
Yeon Je Hyung,"('Forgotten', 2017)",actor
Mu-Yeol Kim,"('Forgotten', 2017)",actor
Na-Ra Lee,"('Forgotten', 2017)",actor
Hang-Jun Jang,"('Forgotten', 2017)",director
Belen Rueda,"('The Orphanage', 2007)",actor
Fernando Cayo,"('The Orphanage', 2007)",actor
Roger Princep,"('The Orphanage', 2007)",actor
Mabel Rivera,"('The Orphanage', 2007)",actor
J.A. Bayona,"('The Orphanage', 2007)",director
Shirley Maclaine,"('Terms of Endearment', 1983)",actor
Debra Winger,"('Terms of Endearment', 1983)",actor
Jack Nicholson,"('Terms of Endearment', 1983)",actor
Danny Devito,"('Terms of Endearment', 1983)",actor
James L. Brooks,"('Terms of Endearment', 1983)",director
August Diehl,"('A Hidden Life', 2019)",actor
Valerie Pachner,"('A Hidden Life', 2019)",actor
Maria Simon,"('A Hidden Life', 2019)",actor
Karin Neuhauser,"('A Hidden Life', 2019)",actor
Terrence Malick,"('A Hidden Life', 2019)",director
Freddie Highmore,"('August Rush', 2007)",actor
Keri Russell,"('August Rush', 2007)",actor
Jonathan Rhys Meyers,"('August Rush', 2007)",actor
Terrence Howard,"('August Rush', 2007)",actor
Kirsten Sheridan,"('August Rush', 2007)",director
Dustin Hoffman,"('Tootsie', 1982)",actor
Jessica Lange,"('Tootsie', 1982)",actor
Teri Garr,"('Tootsie', 1982)",actor
Dabney Coleman,"('Tootsie', 1982)",actor
Sydney Pollack,"('Tootsie', 1982)",director
Zach Braff,"('Garden State', 2004)",actor
Peter Sarsgaard,"('Garden State', 2004)",actor
Natalie Portman,"('Garden State', 2004)",actor
Ian Holm,"('Garden State', 2004)",actor
Zach Braff,"('Garden State', 2004)",director
Ralph Fiennes,"('The Constant Gardener', 2005)",actor
Rachel Weisz,"('The Constant Gardener', 2005)",actor
Danny Huston,"('The Constant Gardener', 2005)",actor
Hubert Kounde,"('The Constant Gardener', 2005)",actor
Fernando Meirelles,"('The Constant Gardener', 2005)",director
Cate Blanchett,"('Notes on a Scandal', 2006)",actor
Judi Dench,"('Notes on a Scandal', 2006)",actor
Andrew Simpson,"('Notes on a Scandal', 2006)",actor
Tom Georgeson,"('Notes on a Scandal', 2006)",actor
Richard Eyre,"('Notes on a Scandal', 2006)",director
Robert Downey Jr.,"('The Judge', 2014)",actor
Robert Duvall,"('The Judge', 2014)",actor
Vera Farmiga,"('The Judge', 2014)",actor
Billy Bob Thornton,"('The Judge', 2014)",actor
David Dobkin,"('The Judge', 2014)",director
Cate Blanchett,"('Elizabeth', 1998)",actor
Liz Giles,"('Elizabeth', 1998)",actor
Rod Culbertson,"('Elizabeth', 1998)",actor
Paul Fox,"('Elizabeth', 1998)",actor
Shekhar Kapur,"('Elizabeth', 1998)",director
Elsie Fisher,"('Eighth Grade', 2018)",actor
Josh Hamilton,"('Eighth Grade', 2018)",actor
Emily Robinson,"('Eighth Grade', 2018)",actor
Jake Ryan,"('Eighth Grade', 2018)",actor
Bo Burnham,"('Eighth Grade', 2018)",director
Tobey Maguire,"('The Cider House Rules', 1999)",actor
Charlize Theron,"('The Cider House Rules', 1999)",actor
Michael Caine,"('The Cider House Rules', 1999)",actor
Delroy Lindo,"('The Cider House Rules', 1999)",actor
Lasse Hallstrom,"('The Cider House Rules', 1999)",director
Steve Carell,"('The Way Way Back', 2013)",actor
Toni Collette,"('The Way Way Back', 2013)",actor
Allison Janney,"('The Way Way Back', 2013)",actor
Annasophia Robb,"('The Way Way Back', 2013)",actor
Nat Faxon,"('The Way Way Back', 2013)",director
Jim Rash,"('The Way Way Back', 2013)",director
Dennis Quaid,"('Frequency', 2000)",actor
Jim Caviezel,"('Frequency', 2000)",actor
Shawn Doyle,"('Frequency', 2000)",actor
Elizabeth Mitchell,"('Frequency', 2000)",actor
Gregory Hoblit,"('Frequency', 2000)",director
Robert De Niro,"('The Mission', 1986)",actor
Jeremy Irons,"('The Mission', 1986)",actor
Ray Mcanally,"('The Mission', 1986)",actor
Aidan Quinn,"('The Mission', 1986)",actor
Roland Joffe,"('The Mission', 1986)",director
Steve Martin,"('Dirty Rotten Scoundrels', 1988)",actor
Michael Caine,"('Dirty Rotten Scoundrels', 1988)",actor
Glenne Headly,"('Dirty Rotten Scoundrels', 1988)",actor
Anton Rodgers,"('Dirty Rotten Scoundrels', 1988)",actor
Frank Oz,"('Dirty Rotten Scoundrels', 1988)",director
Marisa Paredes,"(""The Devil's Backbone"", 2001)",actor
Eduardo Noriega,"(""The Devil's Backbone"", 2001)",actor
Federico Luppi,"(""The Devil's Backbone"", 2001)",actor
Fernando Tielve,"(""The Devil's Backbone"", 2001)",actor
Guillermo Del Toro,"(""The Devil's Backbone"", 2001)",director
Jack Nicholson,"('The Bucket List', 2007)",actor
Morgan Freeman,"('The Bucket List', 2007)",actor
Sean Hayes,"('The Bucket List', 2007)",actor
Beverly Todd,"('The Bucket List', 2007)",actor
Rob Reiner,"('The Bucket List', 2007)",director
Kevin Spacey,"('K-PAX', 2001)",actor
Jeff Bridges,"('K-PAX', 2001)",actor
Mary Mccormack,"('K-PAX', 2001)",actor
Alfre Woodard,"('K-PAX', 2001)",actor
Iain Softley,"('K-PAX', 2001)",director
Pat Hingle,"('The Land Before Time', 1988)",actor
Gabriel Damon,"('The Land Before Time', 1988)",actor
Helen Shaver,"('The Land Before Time', 1988)",actor
Bill Erwin,"('The Land Before Time', 1988)",actor
Don Bluth,"('The Land Before Time', 1988)",director
Michael Jai White,"('Black Dynamite', 2009)",actor
Arsenio Hall,"('Black Dynamite', 2009)",actor
Tommy Davidson,"('Black Dynamite', 2009)",actor
Phyllis Applegate,"('Black Dynamite', 2009)",actor
Scott Sanders,"('Black Dynamite', 2009)",director
Joaquin Phoenix,"(""C'mon C'mon"", 2021)",actor
Gaby Hoffmann,"(""C'mon C'mon"", 2021)",actor
Woody Norman,"(""C'mon C'mon"", 2021)",actor
Scoot Mcnairy,"(""C'mon C'mon"", 2021)",actor
Mike Mills,"(""C'mon C'mon"", 2021)",director
Kathy Bates,"('Dolores Claiborne', 1995)",actor
Jennifer Jason Leigh,"('Dolores Claiborne', 1995)",actor
Christopher Plummer,"('Dolores Claiborne', 1995)",actor
Judy Parfitt,"('Dolores Claiborne', 1995)",actor
Taylor Hackford,"('Dolores Claiborne', 1995)",director
Kid Cudi,"('Entergalactic', 2022)",actor
Jessica Williams,"('Entergalactic', 2022)",actor
Laura Harrier,"('Entergalactic', 2022)",actor
Ty Dolla $Ign,"('Entergalactic', 2022)",actor
Fletcher Moules,"('Entergalactic', 2022)",director
Adam Sandler,"('Reign Over Me', 2007)",actor
Don Cheadle,"('Reign Over Me', 2007)",actor
Jada Pinkett Smith,"('Reign Over Me', 2007)",actor
Liv Tyler,"('Reign Over Me', 2007)",actor
Mike Binder,"('Reign Over Me', 2007)",director
Kurt Russell,"('Miracle', 2004)",actor
Patricia Clarkson,"('Miracle', 2004)",actor
Nathan West,"('Miracle', 2004)",actor
Noah Emmerich,"('Miracle', 2004)",actor
Gavin O'Connor,"('Miracle', 2004)",director
Brendan Gleeson,"('Calvary', 2014)",actor
Chris O'Dowd,"('Calvary', 2014)",actor
Kelly Reilly,"('Calvary', 2014)",actor
Aidan Gillen,"('Calvary', 2014)",actor
John Michael Mcdonagh,"('Calvary', 2014)",director
Tony Leung Chiu-Wai,"('2046', 2004)",actor
Ziyi Zhang,"('2046', 2004)",actor
Faye Wong,"('2046', 2004)",actor
Gong Li,"('2046', 2004)",actor
Kar-Wai Wong,"('2046', 2004)",director
Robert Redford,"('The Natural', 1984)",actor
Robert Duvall,"('The Natural', 1984)",actor
Glenn Close,"('The Natural', 1984)",actor
Kim Basinger,"('The Natural', 1984)",actor
Barry Levinson,"('The Natural', 1984)",director
Josephine Sanz,"('Petite Maman', 2021)",actor
Gabrielle Sanz,"('Petite Maman', 2021)",actor
Nina Meurisse,"('Petite Maman', 2021)",actor
Stephane Varupenne,"('Petite Maman', 2021)",actor
Celine Sciamma,"('Petite Maman', 2021)",director
John Cusack,"('Love & Mercy', 2014)",actor
Paul Dano,"('Love & Mercy', 2014)",actor
Elizabeth Banks,"('Love & Mercy', 2014)",actor
Paul Giamatti,"('Love & Mercy', 2014)",actor
Bill Pohlad,"('Love & Mercy', 2014)",director
Lewis Macdougall,"('A Monster Calls', 2016)",actor
Sigourney Weaver,"('A Monster Calls', 2016)",actor
Felicity Jones,"('A Monster Calls', 2016)",actor
Toby Kebbell,"('A Monster Calls', 2016)",actor
J.A. Bayona,"('A Monster Calls', 2016)",director
Morgan Freeman,"('Lean on Me', 1989)",actor
Beverly Todd,"('Lean on Me', 1989)",actor
Robert Guillaume,"('Lean on Me', 1989)",actor
Alan North,"('Lean on Me', 1989)",actor
John G. Avildsen,"('Lean on Me', 1989)",director
Jason Mitchell,"('Mudbound', 2017)",actor
Carey Mulligan,"('Mudbound', 2017)",actor
Jason Clarke,"('Mudbound', 2017)",actor
Mary J. Blige,"('Mudbound', 2017)",actor
Dee Rees,"('Mudbound', 2017)",director
Kevin Costner,"('McFarland, USA', 2015)",actor
Maria Bello,"('McFarland, USA', 2015)",actor
Ramiro Rodriguez,"('McFarland, USA', 2015)",actor
Carlos Pratts,"('McFarland, USA', 2015)",actor
Niki Caro,"('McFarland, USA', 2015)",director
Tom Wilkinson,"('In the Bedroom', 2001)",actor
Sissy Spacek,"('In the Bedroom', 2001)",actor
Nick Stahl,"('In the Bedroom', 2001)",actor
Marisa Tomei,"('In the Bedroom', 2001)",actor
Todd Field,"('In the Bedroom', 2001)",director
Anamaria Vartolomei,"('Happening', 2021)",actor
Kacey Mottet Klein,"('Happening', 2021)",actor
Luana Bajrami,"('Happening', 2021)",actor
Louise Orry-Diquero,"('Happening', 2021)",actor
Audrey Diwan,"('Happening', 2021)",director
Josh Gad,"(""A Dog's Journey"", 2019)",actor
Dennis Quaid,"(""A Dog's Journey"", 2019)",actor
Kathryn Prescott,"(""A Dog's Journey"", 2019)",actor
Marg Helgenberger,"(""A Dog's Journey"", 2019)",actor
Gail Mancuso,"(""A Dog's Journey"", 2019)",director
Isabelle Adjani,"('Queen Margot', 1994)",actor
Daniel Auteuil,"('Queen Margot', 1994)",actor
Jean-Hugues Anglade,"('Queen Margot', 1994)",actor
Vincent Perez,"('Queen Margot', 1994)",actor
Patrice Chereau,"('Queen Margot', 1994)",director
Anthony Hopkins,"('Howards End', 1992)",actor
Emma Thompson,"('Howards End', 1992)",actor
Vanessa Redgrave,"('Howards End', 1992)",actor
Helena Bonham Carter,"('Howards End', 1992)",actor
James Ivory,"('Howards End', 1992)",director
Gael Garcia Bernal,"('Bad Education', 2004)",actor
Fele Martinez,"('Bad Education', 2004)",actor
Javier Camara,"('Bad Education', 2004)",actor
Daniel Gimenez Cacho,"('Bad Education', 2004)",actor
Pedro Almodovar,"('Bad Education', 2004)",director
Rajkummar Rao,"('Monica, O My Darling', 2022)",actor
Huma Qureshi,"('Monica, O My Darling', 2022)",actor
Sikandar Kher,"('Monica, O My Darling', 2022)",actor
Bagavathi Perumal,"('Monica, O My Darling', 2022)",actor
Vasan Bala,"('Monica, O My Darling', 2022)",director
Shah Rukh Khan,"('Kabhi Khushi Kabhie Gham...', 2001)",actor
Kajol,"('Kabhi Khushi Kabhie Gham...', 2001)",actor
Amitabh Bachchan,"('Kabhi Khushi Kabhie Gham...', 2001)",actor
Hrithik Roshan,"('Kabhi Khushi Kabhie Gham...', 2001)",actor
Karan Johar,"('Kabhi Khushi Kabhie Gham...', 2001)",director
Marion Cotillard,"('Rust and Bone', 2012)",actor
Matthias Schoenaerts,"('Rust and Bone', 2012)",actor
Armand Verdure,"('Rust and Bone', 2012)",actor
Celine Sallette,"('Rust and Bone', 2012)",actor
Jacques Audiard,"('Rust and Bone', 2012)",director
Javier Bardem,"('Biutiful', 2010)",actor
Maricel Alvarez,"('Biutiful', 2010)",actor
Hanaa Bouchaib,"('Biutiful', 2010)",actor
Guillermo Estrella,"('Biutiful', 2010)",actor
Alejandro G. Inarritu,"('Biutiful', 2010)",director
Jim Carrey,"('Man on the Moon', 1999)",actor
Danny Devito,"('Man on the Moon', 1999)",actor
Gerry Becker,"('Man on the Moon', 1999)",actor
Greyson Erik Pendry,"('Man on the Moon', 1999)",actor
Milos Forman,"('Man on the Moon', 1999)",director
Christopher Guest,"('Waiting for Guffman', 1996)",actor
Fred Willard,"('Waiting for Guffman', 1996)",actor
Catherine O'Hara,"('Waiting for Guffman', 1996)",actor
Parker Posey,"('Waiting for Guffman', 1996)",actor
Christopher Guest,"('Waiting for Guffman', 1996)",director
Shia Labeouf,"('The Greatest Game Ever Played', 2005)",actor
Stephen Dillane,"('The Greatest Game Ever Played', 2005)",actor
Elias Koteas,"('The Greatest Game Ever Played', 2005)",actor
James Paxton,"('The Greatest Game Ever Played', 2005)",actor
Bill Paxton,"('The Greatest Game Ever Played', 2005)",director
David Strathairn,"('Good Night, and Good Luck.', 2005)",actor
George Clooney,"('Good Night, and Good Luck.', 2005)",actor
Patricia Clarkson,"('Good Night, and Good Luck.', 2005)",actor
Jeff Daniels,"('Good Night, and Good Luck.', 2005)",actor
George Clooney,"('Good Night, and Good Luck.', 2005)",director
Takeru Satoh,"('Rurouni Kenshin Part I: Origins', 2012)",actor
Emi Takei,"('Rurouni Kenshin Part I: Origins', 2012)",actor
Yu Aoi,"('Rurouni Kenshin Part I: Origins', 2012)",actor
Munetaka Aoki,"('Rurouni Kenshin Part I: Origins', 2012)",actor
Keishi Otomo,"('Rurouni Kenshin Part I: Origins', 2012)",director
Liam Neeson,"('Les Misérables', 1998)",actor
Geoffrey Rush,"('Les Misérables', 1998)",actor
Uma Thurman,"('Les Misérables', 1998)",actor
Christopher Adamson,"('Les Misérables', 1998)",actor
Bille August,"('Les Misérables', 1998)",director
Bryan Cranston,"('Trumbo', 2015)",actor
Diane Lane,"('Trumbo', 2015)",actor
Helen Mirren,"('Trumbo', 2015)",actor
Louis C.K.,"('Trumbo', 2015)",actor
Jay Roach,"('Trumbo', 2015)",director
Sarah Bolger,"('From Up on Poppy Hill', 2011)",actor
Chris Noth,"('From Up on Poppy Hill', 2011)",actor
Anton Yelchin,"('From Up on Poppy Hill', 2011)",actor
Christina Hendricks,"('From Up on Poppy Hill', 2011)",actor
Goro Miyazaki,"('From Up on Poppy Hill', 2011)",director
Angela Bassett,"('Akeelah and the Bee', 2006)",actor
Laurence Fishburne,"('Akeelah and the Bee', 2006)",actor
Keke Palmer,"('Akeelah and the Bee', 2006)",actor
Curtis Armstrong,"('Akeelah and the Bee', 2006)",actor
Doug Atchison,"('Akeelah and the Bee', 2006)",director
Tom Hollander,"('In the Loop', 2009)",actor
Peter Capaldi,"('In the Loop', 2009)",actor
James Gandolfini,"('In the Loop', 2009)",actor
Harry Hadden-Paton,"('In the Loop', 2009)",actor
Armando Iannucci,"('In the Loop', 2009)",director
Benoit Poelvoorde,"('Man Bites Dog', 1992)",actor
Jacqueline Poelvoorde-Pappaert,"('Man Bites Dog', 1992)",actor
Nelly Pappaert,"('Man Bites Dog', 1992)",actor
Hector Pappaert,"('Man Bites Dog', 1992)",actor
Remy Belvaux,"('Man Bites Dog', 1992)",director
Andre Bonzel,"('Man Bites Dog', 1992)",director
Benoit Poelvoorde,"('Man Bites Dog', 1992)",director
Leslie Cheung,"('Days of Being Wild', 1990)",actor
Maggie Cheung,"('Days of Being Wild', 1990)",actor
Andy Lau,"('Days of Being Wild', 1990)",actor
Carina Lau,"('Days of Being Wild', 1990)",actor
Kar-Wai Wong,"('Days of Being Wild', 1990)",director
Kartik Aaryan,"('Freddy', 2022)",actor
Alaya F,"('Freddy', 2022)",actor
Karan Pandit,"('Freddy', 2022)",actor
Sajjad Delafrooz,"('Freddy', 2022)",actor
Shashanka Ghosh,"('Freddy', 2022)",director
Naomi Watts,"('The Painted Veil', 2006)",actor
Edward Norton,"('The Painted Veil', 2006)",actor
Liev Schreiber,"('The Painted Veil', 2006)",actor
Catherine An,"('The Painted Veil', 2006)",actor
John Curran,"('The Painted Veil', 2006)",director
Chris Cooper,"('Lone Star', 1996)",actor
Elizabeth Pena,"('Lone Star', 1996)",actor
Stephen Mendillo,"('Lone Star', 1996)",actor
Stephen J. Lang,"('Lone Star', 1996)",actor
John Sayles,"('Lone Star', 1996)",director
Stephen Dorff,"('Felon', 2008)",actor
Marisol Nichols,"('Felon', 2008)",actor
Vincent Miller,"('Felon', 2008)",actor
Anne Archer,"('Felon', 2008)",actor
Ric Roman Waugh,"('Felon', 2008)",director
Miyu Irino,"('The Garden of Words', 2013)",actor
Kana Hanazawa,"('The Garden of Words', 2013)",actor
Fumi Hirano,"('The Garden of Words', 2013)",actor
Gou Maeda,"('The Garden of Words', 2013)",actor
Makoto Shinkai,"('The Garden of Words', 2013)",director
John Cusack,"('Bullets Over Broadway', 1994)",actor
Dianne Wiest,"('Bullets Over Broadway', 1994)",actor
Jennifer Tilly,"('Bullets Over Broadway', 1994)",actor
Chazz Palminteri,"('Bullets Over Broadway', 1994)",actor
Woody Allen,"('Bullets Over Broadway', 1994)",director
